Ticker,month,first,last,monthly_return,rank
NESTLEIND,2023-10,2231.52,2423.48,0.08602208360220838,1
COALINDIA,2023-10,291.9,314.25,0.0765673175745119,2
BAJAJ-AUTO,2023-10,5016.45,5314.05,0.05932482133779872,3
SBILIFE,2023-10,1292.45,1367.85,0.05833881388061423,4
TRENT,2023-10,2059.1,2154.7,0.04642805109028212,5
TRENT,2023-11,2197.65,2787.0,0.26817282096785194,1
HEROMOTOCO,2023-11,3092.45,3819.05,0.23495933644844716,2
BPCL,2023-11,178.45,217.85,0.22079013729335953,3
EICHERMOT,2023-11,3282.25,3896.9,0.1872648335745297,4
APOLLOHOSP,2023-11,4796.55,5528.95,0.15269308148565106,5
BEL,2023-12,147.45,184.2,0.24923702950152596,1
ADANIPORTS,2023-12,827.8,1024.35,0.2374365788837883,2
ADANIENT,2023-12,2362.7,2848.95,0.20580268337071997,3
HINDALCO,2023-12,517.2,614.85,0.1888051044083526,4
ULTRACEMCO,2023-12,9033.85,10503.0,0.16262722980788916,5
ONGC,2024-01,205.35,252.25,0.22839055271487707,1
SHRIRAMFIN,2024-01,2048.85,2466.8,0.2039924835883546,2
BHARTIARTL,2024-01,1013.05,1170.7,0.1556191698336707,3
ADANIPORTS,2024-01,1047.85,1207.65,0.15250274371331793,4
BAJAJ-AUTO,2024-01,6701.1,7667.55,0.14422259032099205,5
TRENT,2024-02,3102.8,3881.8,0.2510635554982596,1
BPCL,2024-02,254.23,301.93,0.18762537859418643,2
M&M,2024-02,1651.15,1932.4,0.1703358265451352,3
SBIN,2024-02,647.65,748.1,0.1550992048174169,4
SUNPHARMA,2024-02,1407.95,1577.95,0.12074292410952094,5
BAJAJ-AUTO,2024-03,8040.05,9148.15,0.137822525979316,1
BAJFINANCE,2024-03,6571.45,7245.25,0.10253444825723397,2
BHARTIARTL,2024-03,1128.7,1228.6,0.0885089040489057,3
MARUTI,2024-03,11620.95,12600.35,0.08427882402041137,4
HINDALCO,2024-03,519.1,560.25,0.0792718166056636,5
EICHERMOT,2024-04,3946.65,4597.4,0.16488667604170615,1
TRENT,2024-04,3886.8,4409.9,0.1345837192549139,2
HINDALCO,2024-04,568.6,644.4,0.1333098839254308,3
M&M,2024-04,1915.95,2156.35,0.12547300294892866,4
BEL,2024-04,211.1,233.75,0.1072951207958314,5
BEL,2024-05,234.75,295.95,0.260702875399361,1
M&M,2024-05,2185.15,2506.25,0.1469464338832574,2
HEROMOTOCO,2024-05,4561.5,5119.6,0.12235010413241267,3
ADANIENT,2024-05,3039.6,3411.35,0.12230227661534412,4
BRITANNIA,2024-05,4759.65,5179.8,0.08827329740632202,5
TRENT,2024-06,4662.2,5479.85,0.175378576637639,1
SHRIRAMFIN,2024-06,2509.15,2911.5,0.16035310762608848,2
WIPRO,2024-06,444.1,514.85,0.15931096599864894,3
TECHM,2024-06,1245.35,1430.35,0.14855261573051753,4
GRASIM,2024-06,2368.8,2670.45,0.12734295845997956,5
ONGC,2024-07,272.95,334.2,0.22440007327349332,1
HDFCLIFE,2024-07,600.75,715.5,0.19101123595505617,2
INFY,2024-07,1590.8,1868.25,0.1744091023384461,3
SBILIFE,2024-07,1501.85,1753.65,0.16765988614042693,4
ITC,2024-07,429.05,495.35,0.15452744435380494,5
TRENT,2024-08,5770.8,7158.75,0.24051258057808272,1
BAJAJ-AUTO,2024-08,9730.5,10891.55,0.11932069266738599,2
BAJAJFINSV,2024-08,1634.8,1783.05,0.09068387570344996,3
SHRIRAMFIN,2024-08,2989.25,3204.5,0.0720080287697583,4
CIPLA,2024-08,1546.2,1654.9,0.07030138403828744,5
M&M,2024-09,2777.0,3094.9,0.11447605329492261,1
BAJAJ-AUTO,2024-09,11126.1,12345.95,0.10963859753192946,2
SHRIRAMFIN,2024-09,3225.25,3576.95,0.10904581040229434,3
HINDALCO,2024-09,683.9,756.2,0.10571721011843847,4
TATASTEEL,2024-09,152.88,168.55,0.10249869178440618,5
SBIN,2024-10,796.95,820.2,0.029173724825898736,1
HDFCLIFE,2024-10,710.2,720.15,0.014010137989298692,2
ICICIBANK,2024-10,1274.4,1292.25,0.01400659133709974,3
WIPRO,2024-10,546.75,551.8,0.009236396890717796,4
HDFCBANK,2024-10,1726.2,1735.7,0.005503417912177036,5
TECHM,2024-11,1603.65,1747.45,0.08967043931032329,1
INFY,2024-11,1760.85,1902.25,0.08030212681375477,2
HCLTECH,2024-11,1757.4,1898.4,0.08023216114714919,3
M&M,2024-11,2817.65,3012.95,0.06931308004897689,4
TCS,2024-11,3984.2,4244.6,0.06535816475076567,5
